clock_time;object_type;uuid;itinerary_id;from_state;to_state;lon;lat;details
0;vehicle;b59174a7c5634908951530d2df4a0315;;offline;idling;-73.997155;40.71196;{}
0;vehicle;16e94eeb59824f768415a430413353ef;;offline;idling;-73.982318;40.769531;{}
0;vehicle;5cd0f7844fb2413bb4a539cbb55ea08f;;offline;idling;-73.98243;40.785004;{}
0;vehicle;277a72c303bb47d1a33d0c82bf3bf5a8;;offline;idling;-74.007424;40.72601;{}
0;vehicle;bac82b689bea41e78a0e78a1e43c55db;;offline;idling;-73.978013;40.758114;{}
0;vehicle;66d6deec40c24810b966c9b553deb697;;offline;idling;-74.015092;40.71577;{}
0;vehicle;c5b2a0b21e554324a01cf03bacd9767c;;offline;idling;-73.95504;40.799415;{}
0;vehicle;603b1f1f74984df5b91f82c8fef236a6;;offline;idling;-73.95516;40.807136;{}
0;vehicle;7a9086eed99f4dcaa28d7114d246dfce;;offline;idling;-73.968565;40.778987;{}
0;vehicle;faef003ad1c24a80a96908d5d8273b0a;;offline;idling;-73.973064;40.744255;{}
8;booking;56f96379691e416f87dfb57f687379cc;;created;pending;-73.975136;40.752995;{"dropoff":{"lat":40.756912,"lon":-73.967247}}
8;vehicle;bac82b689bea41e78a0e78a1e43c55db;dd9cd62e94484d9ca8b1d188bac82274;idling;moving_to;-73.978013;40.758114;{"origin":{"lat":40.758114,"lon":-73.978013},"destination":{"lat":40.752995,"lon":-73.975136},"trip_distance":0.0,"trip_duration":0,"pickup":"56f96379691e416f87dfb57f687379cc"}
8;booking;56f96379691e416f87dfb57f687379cc;dd9cd62e94484d9ca8b1d188bac82274;pending;matched;-73.975136;40.752995;{}
8;booking;56f96379691e416f87dfb57f687379cc;dd9cd62e94484d9ca8b1d188bac82274;matched;waiting_pickup;-73.975136;40.752995;{}
11;booking;530f8908495149a686bffe4497b5d4ff;;created;pending;-73.976341;40.751465;{"dropoff":{"lat":40.760757,"lon":-73.997925}}
11;booking;76b2e1f517eb484883d071a23ee02918;;created;pending;-73.981232;40.78109;{"dropoff":{"lat":40.808109,"lon":-73.966499}}
11;vehicle;faef003ad1c24a80a96908d5d8273b0a;8857f33fcccc48778b52d048fbe4f11c;idling;moving_to;-73.973064;40.744255;{"origin":{"lat":40.744255,"lon":-73.973064},"destination":{"lat":40.751465,"lon":-73.976341},"trip_distance":0.0,"trip_duration":0,"pickup":"530f8908495149a686bffe4497b5d4ff"}
11;booking;530f8908495149a686bffe4497b5d4ff;8857f33fcccc48778b52d048fbe4f11c;pending;matched;-73.976341;40.751465;{}
11;booking;530f8908495149a686bffe4497b5d4ff;8857f33fcccc48778b52d048fbe4f11c;matched;waiting_pickup;-73.976341;40.751465;{}
11;vehicle;5cd0f7844fb2413bb4a539cbb55ea08f;3b3df6c0c0d041f8ae9b4a395b4530eb;idling;moving_to;-73.98243;40.785004;{"origin":{"lat":40.785004,"lon":-73.98243},"destination":{"lat":40.78109,"lon":-73.981232},"trip_distance":0.0,"trip_duration":0,"pickup":"76b2e1f517eb484883d071a23ee02918"}
11;booking;76b2e1f517eb484883d071a23ee02918;3b3df6c0c0d041f8ae9b4a395b4530eb;pending;matched;-73.981232;40.78109;{}
11;booking;76b2e1f517eb484883d071a23ee02918;3b3df6c0c0d041f8ae9b4a395b4530eb;matched;waiting_pickup;-73.981232;40.78109;{}
20;vehicle;5cd0f7844fb2413bb4a539cbb55ea08f;3b3df6c0c0d041f8ae9b4a395b4530eb;moving_to;idling;-73.981232;40.78109;{"stop":"arrived","origin":{"lat":40.785004,"lon":-73.98243},"destination":{"lat":40.78109,"lon":-73.981232},"trip_distance":0.447,"trip_duration":9,"pickup":"76b2e1f517eb484883d071a23ee02918"}
20;vehicle;bac82b689bea41e78a0e78a1e43c55db;dd9cd62e94484d9ca8b1d188bac82274;moving_to;idling;-73.975136;40.752995;{"stop":"arrived","origin":{"lat":40.758114,"lon":-73.978013},"destination":{"lat":40.752995,"lon":-73.975136},"trip_distance":0.619,"trip_duration":12,"pickup":"56f96379691e416f87dfb57f687379cc"}
20;booking;56f96379691e416f87dfb57f687379cc;dd9cd62e94484d9ca8b1d188bac82274;waiting_pickup;pickup;-73.975136;40.752995;{}
